city_id,city_name
21988,Garčin
1815,Gdańsk
7578,Gdynia
41992,Gebze
40971,Gelibolu
1144,Gelsenkirchen
42002,Gemlik
3298,Geneva
23811,Geneva Airport
3118,Genoa
1084,Gera
40981,Gerze
40991,Gevaş
41001,Geyikli
2738,Ghent
15388,Gherla
407,Gießen
13878,Ginjal
13308,Gioia del Colle
24131,Gioia Tauro
42012,Giresun
5228,Girona
23791,Girona Airport
10908,Giulianova
12158,Giurgiu
7608,Gliwice
45981,Golubac
47041,Goražde
44621,Goričica
10078,Gornja Vrba
29711,Gornji Kneginec
44271,Gornji Milanovac
22198,Gorzów Wielkopolski
9708,Gospić
38531,Gostivar
6638,Gothenburg
16898,Gothenburg Airport (Landvetter)
6348,Gradiška
10008,Gradište
25641,Grajewo
22658,Granada
46321,"Grand Canyon (West Rim), AZ"
10688,Gravina in Puglia
1605,Graz
39611,"Greensboro, NC"
39601,"Greenville, SC"
417,Greifswald
3988,Grenoble
1404,Groningen
5458,Grosseto
13258,Grottaglie
10568,Grottaminarda
21738,Grottammare
2898,Groß Särchen
24831,Grubine
9168,Grude
23128,Grudziądz
11708,Gryfów Śląski
39771,Grzybowo
22448,Gränna
2298,Grömitz
13888,Guarda
28341,Guardia Piemontese
13898,Guimarães
4388,Guingamp
15408,Gura Humorului
1875,Györ
41011,Gökçebey
42022,Gölcük
45131,Gömeç
42032,Gönen
41051,Görele
41021,Göreme
3408,Görlitz
128,Göttingen
41031,Gülşehir
41041,Gümüldür
42052,Gümüşhane
41061,Güroymak
41071,Gürün
429,Gütersloh
42841,Güvercinlik
15378,Găești
41081,Hacıbektaş
7488,Haderslev
44971,Hafik
14408,Hagondange
152,Halle
46481,Hallsberg
6668,Halmstad
118,Hamburg
436,Hamm
437,Hanau
25791,Handlová
146,Hanover
30171,Harkány
24621,Harrachov
39821,"Hartford, CT"
44111,Havlíčkův Brod
41091,Havza
47291,Hayrettin
98,Heidelberg
110,Heilbronn
10868,Heiligenhafen
448,Helmstedt
6678,Helsingborg
39571,Hendaye
47611,"Henderson, NC"
14598,Herceg Novi
2268,Heringsdorf
7188,Herning
30951,Hervas
129,Hildesheim
1574,Himmelkron
45001,Hisarcık
25691,Hliník nad Hronom
47721,Hluboká nad Vltavou
25891,Hodkovice nad Mohelkou
1104,Hof
47991,"Hollywood, FL"
16418,Holstebro
471,Homburg
4398,Honfleur
41101,Hopa
45011,Horasan
30121,Horní Vltavice
7048,Horsens
26271,"Houston, TX"
3458,Hoyerswerda
15868,Hradec Králové
5998,Hranice na Moravě
45411,Hrastje
45661,Hrboki
29731,Hreljići
33791,Hrubieszów
18358,Huelva
5968,Hulín
28671,Humenné
25111,Humpolec
15428,Hunedoara
39561,"Huntsville, TX"
41111,Hüyük
15438,Iași
44691,Ilgaz
42072,Ilgın
13908,Ilhavo
27171,Ilok
9068,Imotski
12838,Imperia
18738,Incarville
479,Ingolstadt
1001,Innsbruck
16158,Interlaken
36701,Irig
13558,Irun
36331,"Irvine, CA"
13408,Isernia
47841,"Islamorada, FL"
37321,Isola di Capo Rizzuto
42112,Isparta
1344,Isselburg
39541,"Ithaca, NY"
44571,Ivano-Frankivsk
18988,Ivrea
16538,Ičići
24281,Iłowa
24661,Jablonec nad Nisou
31911,Jaen
17708,Jajce
47501,Janov nad Nisou
34431,Janów Lubelski
46271,Jarošov
39761,Jastrowie
26921,Jastrzębia Góra
22148,Jastrzębie-Zdrój
19458,Jasło
11718,Jelenia Góra
43411,Jelgava
38641,Jelšava
484,Jena
19178,Jesolo
6248,Jihlava
25991,Jindřichův Hradec
23178,Jirkov
45841,Jurići
45691,Juršići
6688,Jönköping
3098,Kahla
174,Kaiserslautern
13198,Kakanj
45111,Kale
41171,Kalkan
6818,Kalmar
46261,Kamenice nad Lipou
24861,Kamenjak
24821,Kamenmost
47731,Kamenný Újezd
42162,Karabük
42172,Karacabey
45911,Karakoçan
43051,Karamürsel
45161,Kargalıyeniköy (Taytem)
45071,Kargı
16678,Karlobag
6418,Karlovac
5358,Karlovy Vary
11908,Karlskoga
109,Karlsruhe
6698,Karlstad
22748,Karpacz
30731,Karup
6068,Karviná
26911,Karwia
491,Kassel
42202,Kastamonu
1885,Katowice
33351,Kaunas
41191,Kavak
41201,Kayaş
47301,Kaynarca (Bursa)
42212,Kayseri
46971,Kałuszyn
42192,Kaş
20878,Kaštela
105,Kehl
41221,Kemer
47861,"Key West, FL"
41211,Keçiborlu
42222,Keşan
45171,Keşap
36451,Khmelnytskyi
498,Kiel
18628,Kielce
20708,"Kingman, AZ"
16238,Kiseljak
38521,Kičevo
44381,Kladovo
1895,Klagenfurt
1685,Klausen (Chiusa)
2878,Kleinwelka
24851,Kljenovac
28161,Kluszkowce
9088,Knin
42262,Kocaeli
46031,Kolašin
34331,Kolbuszowa
5318,Kolding
7698,Kolobrzeg
44561,Kolomyia
5918,Kolín
45421,Komin
22218,Konin
35891,Konjic
42272,Konya
8968,Koper
10208,Koprivnica
9098,Korenica
42132,Korkuteli
25401,Korswandt
19038,Kortrijk
18058,Koserow
47451,Kosmonosy
7628,Koszalin
14628,Kotor
45641,Kotoriba
41231,Kovancılar
41251,Kozcağız
42831,Kozlu
24641,Kořenov
34241,Kościerzyna
6208,Košice
29741,Kožino
1915,Kraków
24591,Kraków Airport
16708,Kraljevica
34071,Krasnystaw
19468,Kraśnik
509,Krefeld
11928,Kristinehamn
24741,Krivodol
45871,Križ
9968,Krk
10298,Krnjak
27381,Krosno
28141,Krościenko nad Dunajcem
46341,Krucemburk
46001,Kruševac
22098,Krynica Morska
18678,Krynica-Zdroj
46221,Krátká Ves
30111,Kubova Huť
24371,Kudowa-Zdrój
16468,Kukaleta
47111,Kula (RS)
41271,Kula (TR)
42552,Kulu
16828,Kumanovo
45371,Kumla
42562,Kumluca
43811,Kupferzell/ Hohenlohe
35811,Kupres
45481,Kuršanec
8998,Kutina
42572,Kuşadası
15898,Kyiv
6198,Kysak
18028,Kölpinsee
2888,Königswartha
41241,Köyceğiz
45211,Köşk
45381,Kümbet (Seyitgazi)
42292,Kütahya
41261,Küçükkuyu
22088,Kąty Rybackie
42242,Kırıkkale
42252,Kırşehir
24341,Kłodzko
46401,Křižanov
8828,L'Aquila
38411,La Roche Sur Foron
13138,La Roche sur Yon
3478,La Rochelle
31151,La Serrada
7948,La Spezia
31101,La Torre
16718,Labin
28661,"Lafayette, LA"
26591,Lagonegro
25741,Lagos
28651,"Lake Charles, LA"
39851,"Lakeland, FL"
6428,Laktaši
30361,Lamego
14828,Lamezia Terme
1645,Lana
18828,Lanciano
19428,Langres
41281,Lapseki
20288,"Las Vegas, NV"
3148,Lausanne
4428,Laval
10678,Lavello
44261,Lazarevac
37301,Le Castella
4438,Le Havre
4448,Le Mans
